timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598396558212,8,Home Page,200,OK,Thread Group 1-1,text,true,,5248,116,1,1,http://localhost:8080/,8,0,0
1598396558263,6,Home Page,200,OK,Thread Group 1-2,text,true,,5248,116,1,1,http://localhost:8080/,6,0,1
1598396558313,7,Home Page,200,OK,Thread Group 1-3,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396558363,5,Home Page,200,OK,Thread Group 1-4,text,true,,5248,116,1,1,http://localhost:8080/,5,0,0
1598396558413,6,Home Page,200,OK,Thread Group 1-5,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396558462,7,Home Page,200,OK,Thread Group 1-6,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396558512,6,Home Page,200,OK,Thread Group 1-7,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396558562,7,Home Page,200,OK,Thread Group 1-8,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396558613,6,Home Page,200,OK,Thread Group 1-9,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396558663,5,Home Page,200,OK,Thread Group 1-10,text,true,,5248,116,1,1,http://localhost:8080/,5,0,0
1598396558712,6,Home Page,200,OK,Thread Group 1-11,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396558762,6,Home Page,200,OK,Thread Group 1-12,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396558812,6,Home Page,200,OK,Thread Group 1-13,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396558862,6,Home Page,200,OK,Thread Group 1-14,text,true,,5248,116,1,1,http://localhost:8080/,6,0,1
1598396558913,6,Home Page,200,OK,Thread Group 1-15,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396558963,19,Home Page,200,OK,Thread Group 1-16,text,true,,5248,116,1,1,http://localhost:8080/,19,0,0
1598396559012,20,Home Page,200,OK,Thread Group 1-17,text,true,,5248,116,1,1,http://localhost:8080/,20,0,1
1598396559062,6,Home Page,200,OK,Thread Group 1-18,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396559112,7,Home Page,200,OK,Thread Group 1-19,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396559162,6,Home Page,200,OK,Thread Group 1-20,text,true,,5248,116,1,1,http://localhost:8080/,6,0,1
1598396559213,5,Home Page,200,OK,Thread Group 1-21,text,true,,5248,116,1,1,http://localhost:8080/,5,0,0
1598396559263,6,Home Page,200,OK,Thread Group 1-22,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396559312,5,Home Page,200,OK,Thread Group 1-23,text,true,,5248,116,1,1,http://localhost:8080/,5,0,0
1598396559362,7,Home Page,200,OK,Thread Group 1-24,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396559412,8,Home Page,200,OK,Thread Group 1-25,text,true,,5248,116,1,1,http://localhost:8080/,8,0,1
1598396559463,6,Home Page,200,OK,Thread Group 1-26,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396559512,6,Home Page,200,OK,Thread Group 1-27,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396559563,6,Home Page,200,OK,Thread Group 1-28,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396559613,6,Home Page,200,OK,Thread Group 1-29,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396559663,6,Home Page,200,OK,Thread Group 1-30,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
